order_month,revenue,orders,units
2024-01,1540653.3,255,735
2024-02,1410723.0,244,718
2024-03,1714845.1,258,801
2024-04,1878737.35,243,813
2024-05,1383282.05,239,690
2024-06,1595488.6,234,721
2024-07,1818757.9,258,814
2024-08,2077653.35,266,805
2024-09,2002095.5,281,838
2024-10,2929080.3,250,1042
2024-11,2289747.9,243,1078
2024-12,2553360.0,234,987
2025-01,2201947.9,267,807
2025-02,1567343.9,225,725
2025-03,1708197.0,245,823
2025-04,1634451.05,250,811
2025-05,2084917.25,253,767
2025-06,1813467.9,239,753
2025-07,1788218.5,246,751
2025-08,1733100.9,257,785
2025-09,1814512.25,253,769
2025-10,3192422.45,240,1060
2025-11,1876816.5,248,1103
2025-12,2792354.8,272,1314
