order_id,order_date,region,sales_rep,product,category,unit_price,quantity,discount_pct,gross_sales,discount_amount,net_sales,customer_segment,payment_mode
ORD105327,2024-01-01,North,Isha Verma,Notebook Set,Stationery,249,2,0.0,498,0.0,498.0,Retail,Credit Card
ORD103208,2024-01-01,West,Ananya Iyer,Dumbbell Set,Fitness,3499,1,20.0,3499,699.8,2799.2,Online,UPI
ORD103217,2024-01-01,East,Karan Malhotra,Yoga Mat,Fitness,899,1,0.0,899,0.0,899.0,Retail,UPI
ORD104271,2024-01-01,South,Rohan Mehta,Notebook Set,Stationery,249,1,5.0,249,12.45,236.55,Retail,UPI
ORD105471,2024-01-01,North,Aarav Shah,Fountain Pen,Stationery,399,3,0.0,1197,0.0,1197.0,Online,Debit Card
ORD102204,2024-01-01,Central,Arjun Kapoor,Whiteboard,Stationery,1499,2,0.0,2998,0.0,2998.0,Online,Credit Card
ORD102972,2024-01-01,East,Sneha Roy,Desk Lamp,Furniture,1099,3,0.0,3297,0.0,3297.0,Corporate,Net Banking
ORD100087,2024-01-01,East,Sneha Roy,Laptop Sleeve,Accessories,899,3,0.0,2697,0.0,2697.0,Online,UPI
ORD105813,2024-01-01,Central,Arjun Kapoor,Mechanical Keyboard,Electronics,2499,3,15.0,7497,1124.55,6372.45,Corporate,Cash
ORD102937,2024-01-02,Central,Arjun Kapoor,Laptop Sleeve,Accessories,899,6,10.0,5394,539.4,4854.6,Retail,Credit Card
ORD103693,2024-01-02,Central,Devika Rao,Yoga Mat,Fitness,899,4,20.0,3596,719.2,2876.8,Online,Cash
ORD101280,2024-01-02,East,Sneha Roy,Mechanical Keyboard,Electronics,2499,2,0.0,4998,0.0,4998.0,Online,Net Banking
ORD104970,2024-01-02,South,Rohan Mehta,Whiteboard,Stationery,1499,4,10.0,5996,599.6,5396.4,Online,Net Banking
ORD100558,2024-01-02,Central,Arjun Kapoor,Notebook Set,Stationery,249,2,10.0,498,49.8,448.2,Retail,UPI
ORD105786,2024-01-02,West,Ananya Iyer,Laptop Sleeve,Accessories,899,3,0.0,2697,0.0,2697.0,Corporate,Net Banking
ORD103142,2024-01-02,East,Karan Malhotra,Wireless Mouse,Electronics,699,1,0.0,699,0.0,699.0,Corporate,Net Banking
ORD104008,2024-01-02,South,Priya Nair,Desk Lamp,Furniture,1099,2,15.0,2198,329.7,1868.3,Online,UPI
ORD100517,2024-01-03,South,Rohan Mehta,Bluetooth Speaker,Electronics,1899,6,0.0,11394,0.0,11394.0,Online,UPI
ORD104595,2024-01-03,South,Priya Nair,Water Bottle,Fitness,349,3,0.0,1047,0.0,1047.0,Retail,Credit Card
ORD101914,2024-01-03,West,Vikram Singh,Desk Lamp,Furniture,1099,3,10.0,3297,329.7,2967.3,Corporate,Credit Card
ORD102709,2024-01-03,West,Vikram Singh,Mechanical Keyboard,Electronics,2499,2,5.0,4998,249.9,4748.1,Retail,Net Banking
ORD104023,2024-01-03,North,Aarav Shah,Yoga Mat,Fitness,899,5,20.0,4495,899.0,3596.0,Retail,Credit Card
ORD104288,2024-01-03,North,Aarav Shah,Notebook Set,Stationery,249,4,5.0,996,49.8,946.2,Corporate,Credit Card
ORD105771,2024-01-03,South,Priya Nair,Yoga Mat,Fitness,899,2,15.0,1798,269.7,1528.3,Retail,Cash
ORD104117,2024-01-04,West,Ananya Iyer,Office Chair,Furniture,6499,5,0.0,32495,0.0,32495.0,Retail,Net Banking
ORD105528,2024-01-04,East,Sneha Roy,Fountain Pen,Stationery,399,2,0.0,798,0.0,798.0,Retail,Credit Card
ORD101845,2024-01-04,East,Sneha Roy,Desk Lamp,Furniture,1099,5,20.0,5495,1099.0,4396.0,Online,Credit Card
ORD105409,2024-01-04,Central,Devika Rao,Office Chair,Furniture,6499,1,15.0,6499,974.85,5524.15,Corporate,UPI
ORD103187,2024-01-04,South,Rohan Mehta,Standing Desk,Furniture,12999,2,0.0,25998,0.0,25998.0,Corporate,UPI
ORD101391,2024-01-04,East,Sneha Roy,Wireless Mouse,Electronics,699,3,15.0,2097,314.55,1782.45,Online,Cash
ORD103117,2024-01-04,North,Isha Verma,USB-C Hub,Electronics,1299,2,0.0,2598,0.0,2598.0,Retail,Cash
ORD103345,2024-01-04,East,Karan Malhotra,Desk Lamp,Furniture,1099,5,0.0,5495,0.0,5495.0,Corporate,UPI
ORD105998,2024-01-05,East,Sneha Roy,USB-C Hub,Electronics,1299,1,0.0,1299,0.0,1299.0,Retail,Credit Card
ORD101692,2024-01-05,South,Priya Nair,Backpack,Accessories,1799,4,5.0,7196,359.8,6836.2,Retail,UPI
ORD105337,2024-01-05,South,Rohan Mehta,Water Bottle,Fitness,349,3,0.0,1047,0.0,1047.0,Corporate,UPI
ORD105201,2024-01-05,East,Sneha Roy,USB-C Hub,Electronics,1299,2,20.0,2598,519.6,2078.4,Corporate,Net Banking
ORD105212,2024-01-05,West,Vikram Singh,Wireless Mouse,Electronics,699,2,15.0,1398,209.7,1188.3,Retail,Credit Card
ORD103731,2024-01-05,Central,Arjun Kapoor,Dumbbell Set,Fitness,3499,5,10.0,17495,1749.5,15745.5,Retail,Net Banking
ORD105840,2024-01-05,West,Ananya Iyer,Dumbbell Set,Fitness,3499,3,0.0,10497,0.0,10497.0,Corporate,UPI
ORD100417,2024-01-05,East,Karan Malhotra,Fountain Pen,Stationery,399,3,0.0,1197,0.0,1197.0,Corporate,Debit Card
ORD102710,2024-01-05,West,Vikram Singh,Laptop Sleeve,Accessories,899,1,0.0,899,0.0,899.0,Online,Debit Card
ORD103393,2024-01-06,Central,Arjun Kapoor,Backpack,Accessories,1799,2,0.0,3598,0.0,3598.0,Retail,Credit Card
ORD105565,2024-01-06,North,Isha Verma,Dumbbell Set,Fitness,3499,2,0.0,6998,0.0,6998.0,Online,UPI
ORD101922,2024-01-06,East,Karan Malhotra,Backpack,Accessories,1799,2,5.0,3598,179.9,3418.1,Corporate,Net Banking
ORD102750,2024-01-06,Central,Arjun Kapoor,Backpack,Accessories,1799,2,0.0,3598,0.0,3598.0,Corporate,Credit Card
ORD105119,2024-01-06,North,Aarav Shah,Bluetooth Speaker,Electronics,1899,2,0.0,3798,0.0,3798.0,Retail,Debit Card
ORD103989,2024-01-06,South,Priya Nair,Fountain Pen,Stationery,399,5,0.0,1995,0.0,1995.0,Online,Credit Card
ORD105997,2024-01-06,East,Karan Malhotra,USB-C Hub,Electronics,1299,3,5.0,3897,194.85,3702.15,Corporate,Credit Card
ORD103700,2024-01-06,East,Sneha Roy,Wireless Mouse,Electronics,699,3,15.0,2097,314.55,1782.45,Corporate,Credit Card
ORD105331,2024-01-06,North,Aarav Shah,Yoga Mat,Fitness,899,2,0.0,1798,0.0,1798.0,Retail,Cash
ORD102973,2024-01-07,South,Rohan Mehta,Office Chair,Furniture,6499,3,10.0,19497,1949.7,17547.3,Online,Net Banking
ORD104922,2024-01-07,South,Rohan Mehta,Laptop Sleeve,Accessories,899,1,0.0,899,0.0,899.0,Corporate,UPI
ORD104832,2024-01-07,South,Priya Nair,USB-C Hub,Electronics,1299,1,0.0,1299,0.0,1299.0,Online,UPI
ORD100690,2024-01-07,West,Ananya Iyer,Laptop Sleeve,Accessories,899,2,5.0,1798,89.9,1708.1,Retail,Cash
ORD100699,2024-01-08,South,Rohan Mehta,Desk Lamp,Furniture,1099,3,0.0,3297,0.0,3297.0,Corporate,Net Banking
ORD105080,2024-01-08,East,Sneha Roy,Office Chair,Furniture,6499,1,0.0,6499,0.0,6499.0,Corporate,Cash
ORD103762,2024-01-08,East,Sneha Roy,Office Chair,Furniture,6499,1,5.0,6499,324.95,6174.05,Corporate,Credit Card
ORD100841,2024-01-08,North,Aarav Shah,Mechanical Keyboard,Electronics,2499,1,10.0,2499,249.9,2249.1,Corporate,Net Banking
ORD103588,2024-01-08,Central,Arjun Kapoor,Desk Lamp,Furniture,1099,2,5.0,2198,109.9,2088.1,Retail,UPI
ORD104492,2024-01-08,Central,Devika Rao,Dumbbell Set,Fitness,3499,6,0.0,20994,0.0,20994.0,Corporate,Debit Card
ORD100421,2024-01-08,North,Aarav Shah,Backpack,Accessories,1799,2,0.0,3598,0.0,3598.0,Corporate,Net Banking
ORD103291,2024-01-08,South,Rohan Mehta,Backpack,Accessories,1799,3,0.0,5397,0.0,5397.0,Retail,Credit Card
ORD105476,2024-01-08,North,Aarav Shah,Wireless Mouse,Electronics,699,2,5.0,1398,69.9,1328.1,Retail,UPI
ORD101145,2024-01-09,East,Karan Malhotra,Wireless Mouse,Electronics,699,3,0.0,2097,0.0,2097.0,Retail,Net Banking
ORD103808,2024-01-09,Central,Arjun Kapoor,USB-C Hub,Electronics,1299,1,0.0,1299,0.0,1299.0,Retail,Debit Card
ORD102294,2024-01-09,West,Ananya Iyer,Standing Desk,Furniture,12999,1,10.0,12999,1299.9,11699.1,Retail,UPI
ORD104727,2024-01-09,South,Rohan Mehta,USB-C Hub,Electronics,1299,3,0.0,3897,0.0,3897.0,Retail,Debit Card
ORD100022,2024-01-09,South,Rohan Mehta,Whiteboard,Stationery,1499,9,0.0,13491,0.0,13491.0,Online,Cash
ORD102585,2024-01-09,South,Rohan Mehta,Notebook Set,Stationery,249,6,0.0,1494,0.0,1494.0,Corporate,Net Banking
ORD101198,2024-01-09,Central,Devika Rao,Yoga Mat,Fitness,899,5,0.0,4495,0.0,4495.0,Retail,Debit Card
ORD104409,2024-01-09,West,Ananya Iyer,Laptop Sleeve,Accessories,899,3,0.0,2697,0.0,2697.0,Retail,Debit Card
ORD104914,2024-01-09,East,Karan Malhotra,Wireless Mouse,Electronics,699,2,0.0,1398,0.0,1398.0,Online,Credit Card
ORD104279,2024-01-10,South,Rohan Mehta,Laptop Sleeve,Accessories,899,4,20.0,3596,719.2,2876.8,Retail,Credit Card
